Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.070315,-0.0031233,0.29472,0,0,0,5.1915,0.20197,5.3998E-06,-0.021918,0.21207,3.1856E-06,0.20054,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/base_link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/base_link.STL,,Wheelchair_V7.step-1/Wheelchair_V3_6 v2.step-1;Wheelchair_V7.step-1/零部件9.step-1;Wheelchair_V7.step-1/零部件14.step-1;Wheelchair_V7.step-1/零部件15.step-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_l,0,1.1102E-16,-0.005,0,0,0,0.001131,1.9604E-08,-8.8922E-24,-1.7937E-41,1.9604E-08,4.4116E-24,2.0358E-08,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lidar_l.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lidar_l.STL,,Wheelchair_V7.step-1/零部件17.step-1,lidar_l_sys,lidar_l,lidar_l_joint,fixed,0.25961,0.27982,0.18725,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_r,0,0,-0.005,0,0,0,0.001131,1.9604E-08,8.9611E-24,4.8046E-40,1.9604E-08,0,2.0358E-08,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lidar_r.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lidar_r.STL,,Wheelchair_V7.step-1/零部件16.step-1,lidar_r_sys,lidar_r,lidar_r_joint,fixed,0.2588,-0.27693,0.18725,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_t,-1.7261E-06,1.2481E-06,-0.0075,0,0,0,0.0031421,1.6826E-07,2.6425E-13,3.4624E-22,1.6808E-07,8.9002E-14,2.1851E-07,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lidar_t.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lidar_t.STL,,Wheelchair_V7.step-1/零部件11.step-1,lidar_t_sys,lidar_t,lidar_t_joint,fixed,-0.23192,0,0.76878,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rb_1,1.9776E-09,-6.144E-10,0.030228,0,0,0,0.86161,0.0015965,1.7582E-12,2.8243E-11,0.0015965,-1.075E-11,0.0029109,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/rb_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/rb_1.STL,,Wheelchair_V7.step-1/零部件4.step-1,rb_1_sys,rb_1,rb_1_joint,continuous,-0.25279,-0.23244,0.085117,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
lb_1,-1.0317E-10,2.0094E-10,-0.030229,0,0,0,0.86162,0.001596,7.781E-12,-5.1392E-13,0.001596,-2.4587E-12,0.0029098,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lb_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lb_1.STL,,Wheelchair_V7.step-1/零部件3.step-1,lb_1_sys,lb_1,lb_1_joint,continuous,-0.25279,0.23244,0.085117,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
lf_2,-0.006404,0.012351,0.036333,0,0,0,0.029788,3.6455E-05,4.9462E-07,5.4193E-06,3.5906E-05,-3.1816E-06,7.0144E-06,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lf_2.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lf_2.STL,,Wheelchair_V7.step-1/零部件8.step-1,lf_2_sys,lf_2,lf_2_joint,continuous,0.16276,0.19094,0.13325,3.1416,0,3.1416,base_link,0,0,-1,,,,,,,,,,,,
lf_1,1.3605E-10,-2.5313E-12,0.0165,0,0,0,0.084167,0.00010416,5.6617E-15,5.7277E-15,0.00010416,-1.0736E-14,0.0002057,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lf_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/lf_1.STL,,Wheelchair_V7.step-1/零部件7.step-1,lf_1_sys,lf_1,lf_1_joint,continuous,-0.0124743892795263,-0.0147500000000003,0.070745777131803,1.5707963267949,0,3.14159265358979,lf_2,0,0,1,,,,,,,,,,,,
rf_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/rf_2.STL,1,1,1,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/rf_2.STL,,Wheelchair_V7.step-1/零部件6.step-1,rf_2_sys,rf_2,rf_2_joint,continuous,0.175484096480597,-0.192692211833176,0.133245777131803,3.14159265358979,0,0,base_link,0,0,-1,,,,,,,,,,,,
rf_1,1.5308E-10,3.0365E-11,-0.0165,0,0,0,0.084167,0.00010416,8.0828E-14,7.7644E-14,0.00010416,2.4603E-14,0.0002057,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/rf_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v3/meshes/rf_1.STL,,Wheelchair_V7.step-1/零部件5.step-1,rf_1_sys,rf_1,rf_1_joint,continuous,-0.00025,-0.0165,0.070745777131803,1.5707963267949,0,0,rf_2,0,0,-1,,,,,,,,,,,,
